timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726840702503,62,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,901,290,3,3,https://reqres.in/api/users,62,0,0
1726840702514,55,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,901,290,3,3,https://reqres.in/api/users,55,0,0
1726840702535,80,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,80,0,35
1726840702571,54,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,54,0,29
1726840702567,81,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,81,0,27
1726840702616,50,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,901,290,3,3,https://reqres.in/api/users,50,0,0
1726840702626,46,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,901,290,3,3,https://reqres.in/api/users,46,0,0
1726840702648,59,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,901,290,3,3,https://reqres.in/api/users,59,0,0
1726840702668,46,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,46,0,26
1726840702673,48,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,48,0,29
1726840702721,46,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,901,290,3,3,https://reqres.in/api/users,46,0,0
1726840702715,55,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,901,290,3,3,https://reqres.in/api/users,55,0,0
1726840702708,68,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,68,0,28
1726840702768,51,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,51,0,28
1726840702772,54,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,54,0,31
1726840702776,58,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,901,290,3,3,https://reqres.in/api/users,58,0,0
1726840702827,47,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,901,290,3,3,https://reqres.in/api/users,47,0,0
1726840702820,59,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,900,290,3,3,https://reqres.in/api/users,59,0,0
1726840702835,53,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,53,0,30
1726840702876,55,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,55,0,35
1726840702889,47,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,901,290,3,3,https://reqres.in/api/users,47,0,0
1726840702881,55,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,55,0,35
1726840702937,47,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,901,290,3,3,https://reqres.in/api/users,46,0,0
1726840702932,56,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,901,290,3,3,https://reqres.in/api/users,56,0,0
1726840702938,58,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,58,0,36
1726840702990,58,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,57,0,36
1726840702997,61,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,901,290,3,3,https://reqres.in/api/users,60,0,0
1726840702986,77,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,77,0,38
1726840703048,61,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,900,290,3,3,https://reqres.in/api/users,61,0,0
1726840703059,61,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,60,0,35
1726840703064,67,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,901,290,3,3,https://reqres.in/api/users,67,0,0
1726840703112,63,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,63,0,41
1726840703121,60,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,901,290,3,3,https://reqres.in/api/users,60,0,0
1726840703134,80,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,80,0,55
1726840703176,46,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,893,290,3,3,https://reqres.in/api/users,46,0,0
1726840703184,68,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,68,0,46
1726840703215,52,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-8,text,true,,893,290,3,3,https://reqres.in/api/users,52,0,0
1726840703253,53,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-10,text,true,,893,290,3,3,https://reqres.in/api/users,53,0,0
1726840703225,83,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-9,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,82,0,46
1726840703270,55,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-8,text,true,,1928,127,3,3,https://reqres.in/api/users?page=2,55,0,34
1726840703309,47,Create a User,201,Created,Load Testing expected 100 Vitual Users 1-9,text,true,,893,290,4,4,https://reqres.in/api/users,47,0,0
1726840703308,59,Get Users List,200,OK,Load Testing expected 100 Vitual Users 1-10,text,true,,1928,127,4,4,https://reqres.in/api/users?page=2,59,0,37
